,RANK 2021,COMPANY NAME,2021 REVENUE(₹ Cr),2021 PAT IN CRORES,2021 MARKET CAP(₹ Cr),2021 COMPANY TYPE,2021 REVENUE(₹ Cr)_%CHANGE,2021 PAT IN CRORES_%CHANGE,PAT% CATEGORY,REVENUE% CATEGORY
171,181,SRF Ltd.,8466,1197,63183.0,Large-Cap,15.011547344110854,17.46810598626104,MODERATE,MODERATE
172,182,Rashtriya Chemicals & Fertilizers Ltd.,8420,375,4240.0,Small-Cap,-14.317696143278722,81.15942028985508,HIGH,NEGATIVE
173,183,Reliance Power Ltd.,8419,453,4686.0,Small-Cap,2.6456961716654472,-111.11383709519136,NEGATIVE,LOW
174,184,Gokul Agro Resources Ltd.,8401,44,884.0,Small-Cap,50.017857142857146,131.57894736842107,EXCELLENT,HIGH
175,185,Hindustan Construction Company Ltd.,8400,-610,1493.0,Small-Cap,109.63314200149739,263.0952380952381,EXCELLENT,EXCELLENT
176,186,United Spirits Ltd.,8204,362,68601.0,Large-Cap,-13.11162889218386,-44.984802431610944,NEGATIVE,NEGATIVE
177,187,MindTree Ltd.,8119,1110,78238.0,Large-Cap,3.571884168899094,76.19047619047619,HIGH,LOW
178,188,NCC Ltd.,8066,283,4668.0,Small-Cap,-10.51697359662747,-15.773809523809524,NEGATIVE,NEGATIVE
179,189,Torrent Pharmaceuticals Ltd.,8061,1251,48422.0,Large-Cap,0.012406947890818858,22.16796875,MODERATE,LOW
180,190,Punjab & Sind Bank,7876,-2732,7034.0,Mid-Cap,-10.763652843870384,175.95959595959596,EXCELLENT,NEGATIVE
181,191,Zee Entertainment Enterprises Ltd.,7840,793,30709.0,Large-Cap,-8.045977011494253,50.760456273764255,HIGH,NEGATIVE
182,192,Gujarat State Fertilizer & Chemicals Ltd.,7817,450,4957.0,Small-Cap,-1.1382319463766282,312.8440366972477,EXCELLENT,NEGATIVE
183,193,Voltas Ltd.,7744,528,40453.0,Large-Cap,-1.8255578093306288,2.127659574468085,LOW,NEGATIVE
184,194,Karnataka Bank Ltd.,7727,482,2218.0,Small-Cap,-1.8170266836086402,11.832946635730858,LOW,NEGATIVE
185,195,Ceat Ltd.,7659,432,4977.0,Small-Cap,12.367957746478874,87.01298701298701,HIGH,LOW
186,196,PNB Housing Finance Ltd.,7624,929,8086.0,Mid-Cap,-10.189657203439745,43.808049535603715,MODERATE,NEGATIVE
187,197,Varun Beverages Ltd.,7591,357,40184.0,Large-Cap,-11.299369011451274,-23.717948717948715,NEGATIVE,NEGATIVE
188,198,Whirlpool of India Ltd.,7588,351,27976.0,Large-Cap,2.4159805641787013,-28.367346938775512,NEGATIVE,LOW
189,199,Welspun India Ltd.,7408,550,13942.0,Mid-Cap,7.690071231283617,8.481262327416173,LOW,LOW
190,200,Pidilite Industries Ltd.,7376,1126,119677.0,Large-Cap,-0.9401020682245501,0.8960573476702508,LOW,NEGATIVE
191,201,Biocon Ltd.,7372,846,42835.0,Large-Cap,11.76470588235294,13.101604278074866,LOW,LOW
192,202,Housing and Urban Development Corporation Ltd.,7277,1578,8436.0,Mid-Cap,-3.8832386738872007,-7.611241217798595,NEGATIVE,NEGATIVE
193,203,Amara Raja Batteries Ltd.,7237,646,11424.0,Mid-Cap,4.975340876124166,-2.1212121212121215,NEGATIVE,LOW
